Date,Gas Production
11/17/2017,921.2181
11/18/2017,1025.022
11/19/2017,1021.2518
11/20/2017,1046.4827
11/21/2017,1033.41
11/22/2017,1040.256
11/23/2017,1014.457
11/24/2017,1033.558
11/25/2017,1045.274
11/26/2017,1053.3331
11/27/2017,1037.784
11/28/2017,1053.357
11/29/2017,1057.81
11/30/2017,1053.163
12/1/2017,1063.642106
12/2/2017,1040.245
12/3/2017,991.9026
12/4/2017,1063.114
12/5/2017,1050.806
12/6/2017,1052.166
12/7/2017,1061.244
12/8/2017,1091.807
12/9/2017,1045.171
12/10/2017,1068.333
12/11/2017,1075.362
12/12/2017,1090.094
12/13/2017,1088.424
12/14/2017,1096.826
12/15/2017,1111.658
12/16/2017,1056.061
12/17/2017,1081.873
12/18/2017,1056.185419
12/19/2017,1060.7044
12/20/2017,1085.644457
12/21/2017,1081.023
12/22/2017,1102.505
12/23/2017,1105.053
12/24/2017,1094.105
12/25/2017,1085.224
12/26/2017,1095.126
12/27/2017,1103.629
12/28/2017,1097.852
12/29/2017,1087.969
12/30/2017,1098.115
12/31/2017,1099.659
1/1/2018,1098.376
1/2/2018,1098.203
1/3/2018,1105.521
1/4/2018,1098.868
1/5/2018,1082.76
1/6/2018,1100.295
1/7/2018,1092.645
1/8/2018,1100.57
1/9/2018,1102.453
1/10/2018,1107.083
1/11/2018,1095.531
1/12/2018,1017.616
1/13/2018,1561.772
1/14/2018,1783.436
1/15/2018,1599.73
1/16/2018,1133.85483
1/17/2018,1124.741
1/18/2018,1132.821
1/19/2018,1131.021
1/20/2018,1101.943
1/21/2018,1082.695
1/22/2018,1089.347
1/23/2018,1074.127
1/24/2018,1058.12
1/25/2018,1088.001
1/26/2018,1072.489
1/27/2018,1070.554
1/28/2018,1072.786
1/29/2018,1014.064
1/30/2018,1045.783
1/31/2018,1077
2/1/2018,1080.328
2/2/2018,1053.02
2/3/2018,1119.567
2/4/2018,1086.485
2/5/2018,1072.924
2/6/2018,1051.457
2/7/2018,1095.924
2/8/2018,1086.486
2/9/2018,1067.964
2/10/2018,1075.964
2/11/2018,1066.449
2/12/2018,1046.894
2/13/2018,1084.179
2/14/2018,1107.175
2/15/2018,1140.112
2/16/2018,1135.269
2/17/2018,1139.471
2/18/2018,1137.521
2/19/2018,1136.965476
2/20/2018,1145.142
2/21/2018,1137.7683
2/22/2018,1147.1666
2/23/2018,1142.224
2/24/2018,1050.364
2/25/2018,1144.703
2/26/2018,1154.82
2/27/2018,1141.397
2/28/2018,1147.766
3/1/2018,1150.342
3/2/2018,1144.945
3/3/2018,1173.704
3/4/2018,1116.622
3/5/2018,1133.021
3/6/2018,1112.082
3/7/2018,1149.231
3/8/2018,1129.291
3/9/2018,1138
3/10/2018,1139.927
3/11/2018,1121.793
3/12/2018,1123.412
3/13/2018,1078.361
3/14/2018,1116.438
3/15/2018,1147.634
3/16/2018,1144.965
3/17/2018,1132.135
3/18/2018,1109.757
3/19/2018,1110.022
3/20/2018,1107.839
3/21/2018,1073.875
3/22/2018,1101.656
3/23/2018,1110.178
3/24/2018,1116.544
3/25/2018,1110.824
3/26/2018,1110.611
3/27/2018,1102.603
3/28/2018,1103.614
3/29/2018,1098.109
